net,wires
"(19,14)","[(4, 11, 0), (4, 12, 0), (4, 13, 0), (5, 13, 0)]"
"(10,24)","[(7, 1, 0), (7, 1, 1), (7, 1, 2), (6, 1, 2), (5, 1, 2), (4, 1, 2), (3, 1, 2), (2, 1, 2), (2, 1, 3), (1, 1, 3), (0, 1, 3), (0, 1, 2), (0, 1, 1), (0, 1, 0), (1, 1, 0)]"
"(12,13)","[(7, 11, 0), (7, 12, 0), (7, 13, 0), (7, 14, 0), (7, 15, 0), (7, 16, 0)]"
"(11,6)","[(7, 4, 0), (8, 4, 0), (8, 5, 0), (8, 6, 0), (9, 6, 0), (9, 7, 0), (9, 8, 0), (9, 9, 0), (9, 10, 0), (9, 11, 0), (10, 11, 0), (10, 12, 0)]"
"(23,9)","[(2, 9, 0), (2, 8, 0), (3, 8, 0), (4, 8, 0), (4, 7, 0), (5, 7, 0), (6, 7, 0), (7, 7, 0), (8, 7, 0), (8, 8, 0)]"
"(14,12)","[(5, 13, 0), (5, 12, 0), (5, 11, 0), (6, 11, 0), (7, 11, 0)]"
"(4,1)","[(11, 15, 0), (12, 15, 0), (12, 14, 0), (12, 14, 1), (12, 13, 1), (12, 12, 1), (12, 11, 1), (12, 10, 1), (12, 9, 1), (12, 8, 1), (12, 7, 1), (12, 6, 1), (12, 5, 1), (12, 4, 1), (11, 4, 1), (11, 3, 1), (11, 2, 1), (11, 1, 1), (11, 1, 0)]"
"(23,19)","[(2, 9, 0), (2, 10, 0), (2, 11, 0), (3, 11, 0), (4, 11, 0)]"
"(13,14)","[(7, 16, 0), (6, 16, 0), (6, 15, 0), (5, 15, 0), (5, 14, 0), (5, 13, 0)]"
"(16,5)","[(4, 2, 0), (5, 2, 0), (6, 2, 0), (7, 2, 0), (8, 2, 0), (9, 2, 0), (10, 2, 0), (10, 3, 0)]"
"(11,5)","[(7, 4, 0), (7, 3, 0), (8, 3, 0), (9, 3, 0), (10, 3, 0)]"
"(2,22)","[(11, 6, 0), (11, 5, 0), (10, 5, 0), (9, 5, 0), (9, 4, 0), (9, 4, 1), (9, 3, 1), (9, 3, 2), (8, 3, 2), (7, 3, 2), (6, 3, 2), (5, 3, 2), (4, 3, 2), (3, 3, 2), (2, 3, 2), (2, 3, 1), (2, 3, 0), (2, 2, 0)]"
"(9,24)","[(8, 8, 0), (8, 9, 0), (7, 9, 0), (7, 9, 1), (7, 9, 2), (6, 9, 2), (6, 8, 2), (6, 7, 2), (5, 7, 2), (4, 7, 2), (3, 7, 2), (2, 7, 2), (1, 7, 2), (1, 6, 2), (1, 5, 2), (1, 4, 2), (1, 3, 2), (1, 2, 2), (1, 1, 2), (1, 1, 1), (1, 1, 0)]"
"(1,16)","[(11, 1, 0), (10, 1, 0), (9, 1, 0), (8, 1, 0), (8, 0, 0), (7, 0, 0), (6, 0, 0), (5, 0, 0), (4, 0, 0), (4, 1, 0), (4, 2, 0)]"
"(19,22)","[(4, 11, 0), (4, 11, 1), (4, 10, 1), (5, 10, 1), (5, 10, 2), (5, 9, 2), (5, 9, 3), (4, 9, 3), (3, 9, 3), (2, 9, 3), (2, 8, 3), (2, 7, 3), (2, 6, 3), (2, 5, 3), (2, 4, 3), (2, 3, 3), (2, 2, 3), (2, 2, 2), (2, 2, 1), (2, 2, 0)]"
"(23,11)","[(2, 9, 0), (1, 9, 0), (1, 8, 0), (1, 7, 0), (1, 6, 0), (1, 5, 0), (2, 5, 0), (3, 5, 0), (4, 5, 0), (5, 5, 0), (6, 5, 0), (7, 5, 0), (7, 4, 0)]"
"(15,8)","[(5, 16, 0), (5, 17, 0), (6, 17, 0), (7, 17, 0), (8, 17, 0), (8, 16, 0), (8, 15, 0), (8, 14, 0), (8, 13, 0), (9, 13, 0), (9, 12, 0)]"
"(12,8)","[(7, 11, 0), (8, 11, 0), (8, 12, 0), (9, 12, 0)]"
"(12,16)","[(7, 11, 0), (7, 10, 0), (6, 10, 0), (6, 9, 0), (6, 9, 1), (5, 9, 1), (4, 9, 1), (4, 8, 1), (4, 7, 1), (4, 6, 1), (4, 5, 1), (4, 4, 1), (4, 3, 1), (4, 2, 1), (4, 2, 0)]"
"(16,14)","[(4, 2, 0), (3, 2, 0), (3, 3, 0), (3, 4, 0), (3, 4, 1), (3, 5, 1), (3, 6, 1), (3, 7, 1), (3, 8, 1), (3, 9, 1), (3, 10, 1), (3, 11, 1), (3, 12, 1), (3, 13, 1), (4, 13, 1), (5, 13, 1), (5, 13, 0)]"
"(11,21)","[(7, 4, 0), (7, 4, 1), (6, 4, 1), (5, 4, 1), (5, 3, 1), (5, 2, 1), (5, 1, 1), (4, 1, 1), (3, 1, 1), (3, 1, 0)]"
"(3,6)","[(11, 10, 0), (12, 10, 0), (12, 11, 0), (12, 12, 0), (12, 13, 0), (11, 13, 0), (10, 13, 0), (10, 12, 0)]"
"(20,9)","[(4, 15, 0), (4, 15, 1), (4, 15, 2), (4, 14, 2), (4, 13, 2), (4, 12, 2), (4, 11, 2), (4, 10, 2), (4, 9, 2), (4, 8, 2), (5, 8, 2), (5, 8, 1), (6, 8, 1), (7, 8, 1), (8, 8, 1), (8, 8, 0)]"
"(9,19)","[(8, 8, 0), (7, 8, 0), (6, 8, 0), (5, 8, 0), (5, 9, 0), (5, 10, 0), (4, 10, 0), (4, 11, 0)]"
"(5,1)","[(10, 3, 0), (11, 3, 0), (11, 2, 0), (11, 1, 0)]"
"(5,4)","[(10, 3, 0), (10, 4, 0), (10, 4, 1), (10, 4, 2), (10, 5, 2), (10, 6, 2), (10, 7, 2), (10, 8, 2), (10, 9, 2), (10, 10, 2), (10, 11, 2), (10, 12, 2), (10, 13, 2), (10, 13, 1), (10, 14, 1), (10, 15, 1), (10, 15, 0), (11, 15, 0)]"
"(14,20)","[(5, 13, 0), (6, 13, 0), (6, 14, 0), (6, 14, 1), (5, 14, 1), (4, 14, 1), (4, 14, 0), (4, 15, 0)]"
"(16,11)","[(4, 2, 0), (4, 3, 0), (4, 4, 0), (5, 4, 0), (6, 4, 0), (7, 4, 0)]"
"(15,6)","[(5, 16, 0), (5, 16, 1), (5, 15, 1), (6, 15, 1), (7, 15, 1), (7, 14, 1), (7, 13, 1), (7, 12, 1), (8, 12, 1), (9, 12, 1), (10, 12, 1), (10, 12, 0)]"
"(24,21)","[(1, 1, 0), (2, 1, 0), (3, 1, 0)]"
"(2,23)","[(11, 6, 0), (10, 6, 0), (10, 6, 1), (9, 6, 1), (8, 6, 1), (7, 6, 1), (6, 6, 1), (5, 6, 1), (5, 6, 2), (4, 6, 2), (3, 6, 2), (2, 6, 2), (2, 6, 1), (2, 7, 1), (2, 8, 1), (2, 9, 1), (2, 9, 0)]"
"(15,7)","[(5, 16, 0), (4, 16, 0), (4, 16, 1), (4, 16, 2), (5, 16, 2), (5, 15, 2), (5, 14, 2), (6, 14, 2), (7, 14, 2), (8, 14, 2), (8, 14, 1), (9, 14, 1), (9, 14, 0), (10, 14, 0)]"
chip_1_net_2,436
